Z1[L],C1[M L^-3],Z2[L],C2[M L^-3],Z3[L],C3[M L^-3],Z4[L],C4[M L^-3],Z5[L],C5[M L^-3]
62.364,5112.543,55.73,2832.931,53.789,2714.699,61.148,2686.226,64.183,2648.257
62.647,5111.526,55.825,2833.231,53.9,2716.021,61.401,2681.253,64.311,2650.765
62.883,5112.802,55.88,2832.434,54.012,2716.011,61.572,2688.083,64.439,2654.442
63.101,5102.75,55.918,2833.706,54.143,2714.287,61.772,2687.49,64.603,2650.278
63.316,5065.112,55.98,2833.594,54.22,2716.909,61.922,2690.806,64.683,2651.112
63.523,5069.457,56.029,2834.554,54.211,2716.875,62.098,2693.414,64.799,2649.296
63.689,5068.438,56.076,2836.349,54.245,2716.68,62.332,2696.869,64.893,2650.588
63.854,5077.684,56.136,2835.99,54.287,2718.506,62.562,2693.118,64.99,2656.03
64.002,5076.933,56.207,2836.569,54.346,2718.308,62.824,2706.793,65.141,2654.598
64.149,5071.289,56.326,2837.719,54.513,2717.399,63.041,2709.519,65.208,2657.325
64.328,5064.661,56.372,2836.9,54.63,2718.183,63.261,2704.794,65.274,2656.376
64.482,5063.748,56.441,2837.842,54.727,2715.986,63.512,2701.129,65.345,2656.986
64.659,5067.778,56.519,2839.48,54.806,2717.617,63.616,2702.367,65.456,2654.963
64.736,5064.646,56.569,2839.448,54.88,2718.785,63.743,2700.558,65.549,2655.649
64.764,5064.921,56.604,2838.798,54.977,2719.743,63.934,2704.838,65.643,2660.47
64.68,5064.266,56.672,2839.431,55.083,2723.06,64.012,2709.879,65.675,2659.642
64.829,5063.391,56.77,2841.313,55.134,2723.323,64.252,2714.405,65.8,2659.646
65.07,5062.703,56.835,2839.958,55.162,2723.757,64.45,2715.466,65.859,2662.748
65.226,5029.137,56.873,2842.423,55.249,2723.38,64.697,2716.284,65.979,2662.589
65.453,5044.301,56.929,2841.415,55.347,2723.484,64.86,2713.015,66,2661.474
65.7,5040.858,57.048,2846.64,55.453,2722.082,64.98,2717.118,66.088,2664.983
65.969,5037.158,57.134,2842.74,55.524,2723.223,65.133,2716.015,66.425,2663.709
66.187,5017.58,57.18,2841.917,55.593,2723.857,65.355,2718.43,66.857,2669.998
66.376,5008.579,57.208,2843.198,55.686,2725.231,65.463,2716.574,67.121,2670.094
66.564,4986.849,57.26,2843.14,55.794,2724.059,65.728,2719.132,67.376,2672.426
66.777,4970.255,57.34,2841.979,55.846,2725.353,65.927,2718.583,67.599,2672.675
66.94,4975.666,57.405,2843.361,55.905,2725.041,66.12,2723.028,67.806,2677.524
67.138,4939.292,57.463,2844.664,55.949,2726.436,66.422,2726.118,68.048,2674.757
67.372,4936.173,57.532,2846.673,56.036,2726.207,66.533,2727.226,68.284,2677.263
67.427,4939.23,57.617,2844.931,56.127,2731.77,66.782,2729.561,68.495,2679.247
67.657,4936.267,57.669,2849.424,56.192,2731.117,67.026,2725.074,68.698,2678.329
67.874,4924.705,57.729,2846.812,56.251,2732.574,67.262,2726.734,68.935,2687.228
68.102,4920.93,57.824,2850.793,56.332,2734.644,67.482,2728.847,69.071,2688.046
68.259,4918.517,57.891,2849.638,56.431,2728.184,67.67,2734.51,69.321,2688.108
68.469,4901.058,57.947,2847.221,56.526,2727.588,67.865,2735.169,69.529,2691.484
68.64,4895.988,58.006,2847.269,56.619,2727.105,68.103,2735.418,69.744,2696.863
68.854,4884.419,58.072,2850.399,56.709,2725.598,68.323,2734.422,69.908,2693.789
69.067,4897.087,58.133,2850.64,56.788,2730.844,68.543,2739.728,70.081,2694.275
69.287,4871.524,58.225,2844.704,56.843,2730.605,68.706,2741.773,70.291,2695.625
69.482,4860.269,58.301,2844.883,56.921,2730.809,68.924,2743.167,70.445,2697.198
69.666,4842.151,58.388,2847.494,57.017,2732.127,69.147,2740.465,70.614,2697.144
69.891,4830.305,58.5,2849.909,57.094,2731.355,69.318,2745.166,70.762,2697.605
70.021,4828.802,58.554,2849.481,57.121,2730.311,69.507,2752.992,70.91,2698.458
70.099,4824.039,58.634,2854.996,57.161,2730.475,69.65,2751.282,71.099,2705.58
70.253,4812.109,58.687,2857.719,57.174,2729.567,69.9,2757.332,71.191,2706.322
70.347,4815.027,58.769,2858.964,57.278,2732.322,70.117,2761.045,71.31,2706.742
70.548,4806.371,58.83,2861.933,57.386,2731.138,70.261,2761.304,71.463,2707.649
70.698,4808.924,58.883,2864.316,57.484,2731.42,70.421,2764.036,71.588,2705.176
70.857,4807.071,59.001,2857.951,57.64,2735.554,70.591,2766.331,71.711,2701.958
70.968,4797.946,59.108,2859.424,57.702,2735.906,70.741,2768.395,71.883,2713.135
71.09,4791.684,59.21,2859.635,57.748,2736.153,70.936,2777.012,72.113,2710.704
71.105,4791.66,59.294,2864.599,57.795,2735.008,71.06,2779.666,72.298,2712.305
71.119,4791.3,59.379,2866.038,57.854,2732.05,71.21,2782.972,72.479,2718.608
71.124,4792.957,59.444,2866.461,57.869,2733.515,71.415,2787.61,72.58,2717.039
71.295,4784.929,59.552,2870.331,57.967,2735.835,71.635,2789.777,72.693,2718.576
71.501,4782.11,59.65,2869.139,58.076,2733.844,71.762,2790.971,72.836,2719.36
71.69,4778.546,59.735,2868.553,58.191,2735.873,71.976,2797.7,72.97,2717.821
71.909,4774.501,59.825,2872.786,58.325,2740.184,72.119,2797.421,73.214,2721.556
72.054,4769.535,59.913,2876.455,58.396,2740.969,72.289,2796.223,73.365,2726.36
72.226,4768.765,59.968,2882.65,58.414,2740.643,72.376,2796.951,73.558,2725.876
72.434,4761.285,60.014,2887.858,58.443,2744.537,72.476,2795.863,73.756,2723.96
72.655,4763.912,60.077,2888.413,58.525,2745.147,72.621,2800.912,73.905,2722.007
72.826,4761.37,60.146,2890.7,58.603,2749.683,72.817,2801.25,74.086,2722.021
73.004,4762.182,60.263,2894.451,58.654,2749.216,72.937,2805.149,74.214,2729.516
73.192,4762.131,60.368,2902.114,58.906,2744.94,73.104,2806.788,74.36,2727.321
73.349,4781.087,60.459,2914.566,59.121,2742.971,73.32,2808.955,74.487,2732.513
73.562,4783.827,60.532,2917.915,59.17,2742.456,73.443,2814.719,74.623,2726.053
73.728,4795.53,60.651,2924.989,59.208,2744.483,73.598,2812.485,74.753,2726.13
73.886,4790.056,60.72,2930.133,59.239,2743.565,73.797,2812.098,74.945,2738.779
74.077,4800.598,60.821,2929.445,59.238,2744.198,73.887,2818.948,75.119,2737.691
74.272,4807.369,60.906,2949.755,59.224,2744.66,74.041,2819.192,75.247,2736.454
74.443,4811.711,60.981,2950.457,59.223,2745.2,74.13,2821.132,75.392,2733.813
74.608,4814.292,61.061,2968.139,59.265,2745.177,74.347,2821.011,75.574,2737.589
74.786,4813.042,61.147,2971.832,59.402,2743.622,74.478,2821.011,75.7,2740.417
74.795,4811.741,61.214,2974.607,59.516,2750.109,74.635,2822.447,75.847,2736.799
74.899,4814.851,61.285,2976.442,59.63,2750.184,74.778,2826.878,75.948,2736.729
74.888,4813.604,61.386,2989.526,59.695,2748.137,74.92,2829.243,76.108,2742.685
74.985,4817.164,61.508,2991.893,59.758,2747.65,75.109,2827.698,76.315,2748.031
75.198,4813.837,61.583,3005.542,59.776,2747.987,75.238,2827.294,76.44,2750.559
75.359,4813.715,61.649,3008.777,59.758,2749.786,75.445,2837.002,76.691,2751.915
75.568,4811.052,61.773,3022.293,59.87,2750.726,75.625,2837.265,76.81,2751.758
75.712,4814.234,61.883,3038.089,59.972,2751.158,75.788,2840.187,77.005,2758.668
75.785,4817.601,62.025,3082.162,60.131,2751.539,75.949,2842.612,77.234,2756.269
75.953,4819.421,62.103,3088.507,60.236,2751.666,76.097,2854.436,77.442,2762.392
76.176,4816.172,62.181,3101.886,60.253,2753.657,76.291,2849.269,77.648,2765.528
76.441,4809.601,62.286,3099.431,60.297,2753.088,76.45,2842.769,77.788,2770.497
76.592,4806.672,62.394,3109.21,60.285,2755.049,76.593,2848.983,78.031,2759.995
76.725,4809.529,62.511,3115.383,60.358,2753.671,76.845,2844.979,78.291,2767.101
76.814,4809.615,62.616,3125.357,60.432,2754.213,76.932,2839.697,78.472,2771.268
76.96,4809.664,62.721,3140.67,60.472,2754.681,77.137,2851.017,78.736,2776.731
77.084,4810.758,62.797,3143.227,60.511,2753.701,77.25,2854.356,78.956,2776.211
77.243,4837.051,62.906,3172.88,60.541,2753.478,77.387,2858.138,79.213,2785.231
77.361,4853.131,62.949,3175.988,60.578,2751.102,77.521,2855.521,79.409,2794.304
77.493,4934.018,63.047,3182.381,60.618,2756.922,77.696,2857.172,79.629,2793.035
77.59,5102.922,63.139,3184.643,60.647,2758.827,77.908,2867.095,79.851,2801.667
77.731,5526.263,63.213,3187.426,60.722,2756.468,78.098,2869.024,80.103,2799.818
